OTUID	All	HDC	MDC	NCC
ASV_461	0.031672	0.046108681	0.043963403	0.004944798
ASV_386	0.030904	0.04194968	0.01423317	0.03652937
ASV_732	0.031065	0.03757717	0.00000000	0.05561904
ASV_725	0.031002	0.03837299	0.00000000	0.05463317
ASV_539	0.030696	0.02669833	0.02292465	0.04246380
ASV_119	0.030779	0.02116127	0.01091033	0.06026457
ASV_1424	0.030576	0.001807595	0.002510557	0.087410015
ASV_406	0.030528	0.03506853	0.03915192	0.01736490
ASV_513	0.030417	0.005746503	0.004910796	0.080594862
ASV_669	0.030095	0.04356912	0.03122446	0.01549289
ASV_353	0.030184	0.02177231	0.01290377	0.05587721
ASV_381	0.030641	0.055856641	0.034840981	0.001224657
ASV_1549	0.030419	0.04654644	0.01727676	0.02743279
ASV_1141	0.02979	0.047397984	0.036975763	0.004995741
ASV_488	0.029299	0.057469956	0.009098285	0.021327817
ASV_388	0.030677	0.074278858	0.005465178	0.012287188
ASV_328	0.029388	0.01997434	0.04850400	0.01968607
ASV_362	0.029892	0.02243148	0.02110014	0.04614356
ASV_272	0.029845	0.06921398	0.00865422	0.01166609
ASV_202	0.028187	0.06975339	0.00361587	0.01119067
ASV_401	0.029553	0.001878115	0.001236317	0.085544933
ASV_438	0.028969	0.01914212	0.02458780	0.04317747
ASV_486	0.028523	0.02546116	0.04764558	0.01246149
ASV_512	0.029148	0.002965646	0.016802332	0.067674561
ASV_53	0.027977	0.006396048	0.070600590	0.006934612
ASV_359	0.029055	0.02825062	0.01172261	0.04719051
ASV_456	0.02965	0.001948634	0.001236317	0.085766537
ASV_864	0.029355	0.0012894628	0.0006095405	0.0861665693
ASV_274	0.029297	0.01908874	0.04846526	0.02033819
ASV_482	0.029457	0.04515256	0.04194237	0.00127560
ASV_313	0.028533	0.002527659	0.009762984	0.073309707
ASV_420	0.029181	0.013069790	0.069473627	0.004998127
ASV_239	0.028304	0.058546704	0.008106739	0.018257408
ASV_495	0.027969	0.03765708	0.02222959	0.02401932
ASV_1613	0.028063	0.028654321	0.053645620	0.001887928
ASV_1018	0.027788	0.0768108077	0.0059402650	0.0006123286
ASV_460	0.028575	0.050441597	0.031562948	0.003720141
ASV_451	0.028254	0.01823727	0.03660475	0.02991873
ASV_457	0.02795	0.010782569	0.007510984	0.065556416
ASV_149	0.026688	0.003209217	0.073133158	0.003722528
ASV_581	0.027661	0.004753988	0.078229970	0.000000000
ASV_1209	0.026762	0.044796512	0.029914258	0.005575438
ASV_408	0.027231	0.033146667	0.039754573	0.008792295
ASV_765	0.027203	0.02239713	0.05921158	0.00000000
